Data Table for Cumulative Deaths - Massachusetts
Date generated: Sun Jul 28 2024 14:32:58 GMT-0500 (Central Daylight Saving Time)
Geography,Date,Cumulative Deaths,Death Data As Of
Massachusetts,Jul 20 2024,22173,Jul 25 2024
Massachusetts,Jul 13 2024,22164,Jul 25 2024
Massachusetts,Jul  6 2024,22157,Jul 25 2024
Massachusetts,Jun 29 2024,22141,Jul 25 2024
Massachusetts,Jun 22 2024,22135,Jul 25 2024
Massachusetts,Jun 15 2024,22126,Jul 25 2024
Massachusetts,Jun  8 2024,22120,Jul 25 2024
Massachusetts,Jun  1 2024,22111,Jul 25 2024
Massachusetts,May 25 2024,22105,Jul 25 2024
Massachusetts,May 18 2024,22098,Jul 25 2024
Massachusetts,May 11 2024,22093,Jul 25 2024
Massachusetts,May  4 2024,22089,Jul 25 2024
Massachusetts,Apr 27 2024,22079,Jul 25 2024
Massachusetts,Apr 20 2024,22075,Jul 25 2024
Massachusetts,Apr 13 2024,22063,Jul 25 2024
Massachusetts,Apr  6 2024,22055,Jul 25 2024
Massachusetts,Mar 30 2024,22043,Jul 25 2024
Massachusetts,Mar 23 2024,22037,Jul 25 2024
Massachusetts,Mar 16 2024,22017,Jul 25 2024
Massachusetts,Mar  9 2024,22001,Jul 25 2024
Massachusetts,Mar  2 2024,21977,Jul 25 2024
Massachusetts,Feb 24 2024,21958,Jul 25 2024
Massachusetts,Feb 17 2024,21942,Jul 25 2024
Massachusetts,Feb 10 2024,21910,Jul 25 2024
Massachusetts,Feb  3 2024,21868,Jul 25 2024
Massachusetts,Jan 27 2024,21817,Jul 25 2024
Massachusetts,Jan 20 2024,21775,Jul 25 2024
Massachusetts,Jan 13 2024,21717,Jul 25 2024
Massachusetts,Jan  6 2024,21653,Jul 25 2024
Massachusetts,Dec 30 2023,21605,Jul 25 2024
Massachusetts,Dec 23 2023,21533,Jul 25 2024
Massachusetts,Dec 16 2023,21493,Jul 25 2024
Massachusetts,Dec  9 2023,21452,Jul 25 2024
Massachusetts,Dec  2 2023,21406,Jul 25 2024
Massachusetts,Nov 25 2023,21374,Jul 25 2024
Massachusetts,Nov 18 2023,21345,Jul 25 2024
Massachusetts,Nov 11 2023,21319,Jul 25 2024
Massachusetts,Nov  4 2023,21281,Jul 25 2024
Massachusetts,Oct 28 2023,21247,Jul 25 2024
Massachusetts,Oct 21 2023,21214,Jul 25 2024
Massachusetts,Oct 14 2023,21175,Jul 25 2024
Massachusetts,Oct  7 2023,21141,Jul 25 2024
Massachusetts,Sep 30 2023,21107,Jul 25 2024
Massachusetts,Sep 23 2023,21070,Jul 25 2024
Massachusetts,Sep 16 2023,21032,Jul 25 2024
Massachusetts,Sep  9 2023,20995,Jul 25 2024
Massachusetts,Sep  2 2023,20962,Jul 25 2024
Massachusetts,Aug 26 2023,20930,Jul 25 2024
Massachusetts,Aug 19 2023,20905,Jul 25 2024
Massachusetts,Aug 12 2023,20888,Jul 25 2024
Massachusetts,Aug  5 2023,20865,Jul 25 2024
Massachusetts,Jul 29 2023,20862,Jul 25 2024
Massachusetts,Jul 22 2023,20855,Jul 25 2024
Massachusetts,Jul 15 2023,20846,Jul 25 2024
Massachusetts,Jul  8 2023,20837,Jul 25 2024
Massachusetts,Jul  1 2023,20828,Jul 25 2024
Massachusetts,Jun 24 2023,20821,Jul 25 2024
Massachusetts,Jun 17 2023,20810,Jul 25 2024
Massachusetts,Jun 10 2023,20802,Jul 25 2024
Massachusetts,Jun  3 2023,20793,Jul 25 2024
Massachusetts,May 27 2023,20781,Jul 25 2024
Massachusetts,May 20 2023,20770,Jul 25 2024
Massachusetts,May 13 2023,20758,Jul 25 2024
Massachusetts,May  6 2023,20745,Jul 25 2024
Massachusetts,Apr 29 2023,20732,Jul 25 2024
Massachusetts,Apr 22 2023,20719,Jul 25 2024
Massachusetts,Apr 15 2023,20704,Jul 25 2024
