,day,jurisdiction,NPI,S,E,P,I,A,R,D
0,0,0,0,228993,0,0,2,0,0,0
1,0,1,0,129038,0,0,1,0,0,0
2,0,2,0,579202,0,0,6,0,0,0
3,0,3,0,20605,0,0,0,0,0,0
4,0,4,0,809819,0,0,8,0,0,0
5,0,5,0,71027,0,0,1,0,0,0
6,0,6,0,465834,0,0,5,0,0,0
7,0,7,0,162314,0,0,2,0,0,0
8,0,8,0,1632012,0,0,16,0,0,0
9,0,9,0,14251,0,0,0,0,0,0
10,0,10,0,725925,0,0,7,0,0,0
11,0,11,0,530814,0,0,5,0,0,0
12,0,12,0,800922,0,0,8,0,0,0
13,0,13,0,862107,0,0,9,0,0,0
14,1,0,0,228992,1,0,1,0,1,0
15,1,1,0,129038,0,0,1,0,0,0
16,1,2,0,579201,1,0,5,0,1,0
17,1,3,0,20605,0,0,0,0,0,0
18,1,4,0,809812,7,0,8,0,0,0
19,1,5,0,71027,0,0,1,0,0,0
20,1,6,0,465834,0,0,5,0,0,0
21,1,7,0,162314,0,0,2,0,0,0
22,1,8,0,1632011,1,0,13,0,3,0
23,1,9,0,14251,0,0,0,0,0,0
24,1,10,0,725920,5,0,6,0,1,0
25,1,11,0,530814,0,0,4,0,1,0
26,1,12,0,800919,3,0,6,0,2,0
27,1,13,0,862104,3,0,9,0,0,0
28,2,0,0,228992,0,1,1,0,1,0
29,2,1,0,129038,0,0,1,0,0,0
30,2,2,0,579201,1,0,5,0,1,0
31,2,3,0,20605,0,0,0,0,0,0
32,2,4,0,809807,10,2,5,0,3,0
33,2,5,0,71026,1,0,1,0,0,0
34,2,6,0,465831,3,0,4,0,1,0
35,2,7,0,162314,0,0,1,0,1,0
36,2,8,0,1632005,7,0,12,0,4,0
37,2,9,0,14251,0,0,0,0,0,0
38,2,10,0,725919,6,0,5,0,2,0
39,2,11,0,530812,2,0,4,0,1,0
40,2,12,0,800919,2,1,5,0,3,0
41,2,13,0,862104,3,0,6,0,3,0
42,3,0,0,228992,0,1,0,0,2,0
43,3,1,0,129038,0,0,1,0,0,0
44,3,2,0,579198,4,0,4,0,2,0
45,3,3,0,20605,0,0,0,0,0,0
46,3,4,0,809806,8,4,5,0,4,0
